Date,Close/Last,Volume,Open,High,Low
09/26/2024,$567.84,14400790,$575.73,$577.40,$562.3501
09/25/2024,$568.31,16543350,$564.05,$576.88,$563.72
09/24/2024,$563.33,12992960,$566.68,$567.745,$554.19
09/23/2024,$564.41,12830670,$569.50,$573.9799,$562.41
09/20/2024,$561.35,22066820,$560.00,$564.50,$556.3001
09/19/2024,$559.10,15646950,$550.00,$562.07,$546.52
09/18/2024,$537.95,10323540,$537.065,$544.20,$533.9026
09/17/2024,$536.315,11690780,$537.60,$542.10,$530.57
09/16/2024,$533.28,9527646,$524.54,$534.10,$517.40
09/13/2024,$524.62,10321420,$520.34,$527.581,$517.11
09/12/2024,$525.60,11993340,$517.05,$526.71,$515.22
09/11/2024,$511.83,10782530,$507.01,$513.12,$495.60
09/10/2024,$504.79,9899022,$508.16,$514.18,$500.0278
09/09/2024,$504.79,11047830,$506.16,$511.33,$502.08
09/06/2024,$500.27,14744520,$521.88,$524.5849,$498.25
09/05/2024,$516.86,8640888,$511.72,$521.6295,$511.15
09/04/2024,$512.74,8335207,$506.07,$516.59,$504.07
09/03/2024,$511.76,12459110,$519.64,$525.49,$508.6176
08/30/2024,$521.31,9157541,$521.35,$523.54,$515.20
08/29/2024,$518.22,8317424,$519.05,$527.20,$515.6789
08/28/2024,$516.78,9106077,$517.675,$521.085,$512.45
08/27/2024,$519.10,6282720,$518.98,$524.01,$515.31
