Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00,21.091797376293,21.2217259804408,20.6587009277126,20.7886295318604,232600,0,0
2010-01-05 00:00:00,20.7713103055578,20.8492678173441,20.3988470052746,20.7020149230957,208400,0,0
2010-01-06 00:00:00,20.4421564336158,20.5027896831401,19.6799056198283,20.0090599060059,663700,0,0
2010-01-07 00:00:00,20.0523617007767,20.1649676827331,19.6972228077726,19.7058849334717,639400,0,0
2010-01-08 00:00:00,19.6972302271127,19.9830738743243,19.6972302271127,19.9311027526856,171100,0,0
2010-01-11 00:00:00,19.9657500177762,20.0870181735475,19.5413156029072,19.7232170104981,251300,0,0
2010-01-12 00:00:00,19.6452595907012,19.8184972178201,18.9349815196096,19.1082191467285,336000,0,0
2010-01-13 00:00:00,19.1775105685006,19.4027209241759,18.6058233779909,19.0735683441162,546800,0,0
2010-01-14 00:00:00,19.0649094461096,19.4893438471926,19.012938325114,19.2641334533691,232200,0,0
2010-01-15 00:00:00,19.3247707308551,19.3247707308551,18.6058304074037,18.8743515014648,339000,0,0
2010-01-19 00:00:00,19.0302640946833,19.1861791357246,18.8397021845953,19.1601943969727,357500,0,0
2010-01-20 00:00:00,19.0649108886719,19.1168820135998,18.8743489958479,19.0649108886719,485300,0,0
2010-01-21 00:00:00,19.1515275615344,19.4633559148746,19.0389215474997,19.056245803833,355000,0,0
2010-01-22 00:00:00,18.9869515587302,19.1255423133673,18.4758975314565,18.5625171661377,603900,0,0
2010-01-25 00:00:00,18.7617383121937,19.090892543429,18.2853328721969,18.5884990692139,366900,0,0
2010-01-26 00:00:00,18.475903311509,18.605831978112,18.2593549831265,18.3199882507324,210500,0,0
2010-01-27 00:00:00,18.2680081416259,18.8050468070372,18.0861067760221,18.7617378234863,269800,0,0
2010-01-28 00:00:00,18.7530803433951,18.9696286190743,17.9215357578103,18.1034355163574,312900,0,0
2010-01-29 00:00:00,18.1727292440456,18.2333624913746,17.6616752277984,17.8609008789063,757400,0,0
2010-02-01 00:00:00,17.9821650743358,18.4585705156913,17.79160322822,18.1987133026123,374100,0,0
